text	recoder	tare	rewardrepair	selfapr	gamma	allfailure
private void renderColouredBall(int x, int y, TemperatureInfo temperature, int textureShift) { TemperatureRange temperatureRange = temperature.getTemperatureRange(); float changeDelta = temperature.getRangeDelta(true);  if (temperatureRange != TemperatureRange.MILD) { boolean coolBall = temperatureRange == TemperatureRange.COOL; float ballDelta = coolBall ? 1.0F - changeDelta : changeDelta;  GlStateManager.pushMatrix(); GlStateManager.color(1.0F, 1.0F, 1.0F, ballDelta); drawTexturedModalRect(x, y, 16 * ((coolBall ? 8 : 9) + textureShift), 16 * 1, 16, 16); GlStateManager.color(1.0F, 1.0F, 1.0F, 1.0F); GlStateManager.popMatrix(); } } 	0	1	0	0	0	0
private static String[] toPrimaryValues(Collection<List<String>> lists) { if (lists == null || lists.isEmpty()) { return null; } List<String> result = new ArrayList<>(lists.size()); for (List<String> list : lists) { String value = list.get(0); if (value != null && !value.isEmpty()) { result.add(value); } } return result.toArray(new String[lists.size()]); } 	1	0	1	0	1	0
public int uid() { return st_uid.get(); } 	1	0	1	0	0	0
"public static boolean authenticate(MetkaAuthenticationDetails details) { SecurityContext context = SecurityContextHolder.getContext(); if(context == null) { logger.error(""Authentication was requested but no SecurityContext was found""); throw new AuthenticationCredentialsNotFoundException(""Couldn't find security context""); }  PreAuthenticatedAuthenticationToken auth = new PreAuthenticatedAuthenticationToken(details.getUserName(), ""credentials"", details.getGrantedAuthorities()); auth.setDetails(details); context.setAuthentication(auth); return true; } "	0	0	0	0	1	0
"public static String getModelName(String destination, Model model) { MetkaAuthenticationDetails details = getDetails(); if(details == null || !details.getRole().hasPermission(Permission.HAS_MINIMUM_PERMISSION)) { logger.error(""User ""+getUserName()+"" didn't have minimum permission. Forwarded to AUTH_ERROR page.""); model.asMap().put(""configurationType"", ""AUTH_ERROR""); return ""authError""; } return destination; } "	0	0	0	0	1	0
@Override public boolean test(JsonObject t) { return delegate.canProcess(channel); } 	1	0	1	0	0	0
"@Override public CommandResult execute(CommandSource sender, CommandContext args) throws CommandException { checkPermission(sender, WarpPermissions.UC_WARP_DELWARP_BASE); Warp warp = args.<Warp>getOne(""warp"").get(); List<Warp> warps = GlobalData.get(WarpKeys.WARPS).get(); warps.remove(warp); GlobalData.offer(WarpKeys.WARPS, warps); sender.sendMessage(Messages.getFormatted(sender, ""warp.command.delwarp.success"", ""%warp%"", warp.getName())); return CommandResult.success(); } "	0	0	0	0	1	0
@NotNull private DiagnosticAnnotation createKotlinAnnotation(@NotNull Diagnostic diagnostic, @NotNull IFile file) { TextRange range = diagnostic.getTextRanges().get(0); return new DiagnosticAnnotation( LineEndUtil.convertLfToDocumentOffset(diagnostic.getPsiFile().getText(), range.getStartOffset(), EditorUtil.getDocument(file)), range.getLength(), getAnnotationType(diagnostic.getSeverity()), DefaultErrorMessages.render(diagnostic), diagnostic.getPsiElement().getText(), diagnostic.getFactory()); } 	0	1	1	0	1	0
private void quitUpdateThread() { if (mThread != null) { mThread.interrupt(); mThread = null; } } 	0	0	0	0	1	0
@Test public void noSignalRealTime() { Duration verifyDuration = StepVerifier.create(Mono.never()) .expectSubscription() .expectNoEvent(Duration.ofSeconds(1)) .thenCancel() .verify(Duration.ofMillis(1100));  assertThat(verifyDuration.toMillis(), is(greaterThanOrEqualTo(1000L))); } 	0	0	0	0	1	0
@Test public void testThenConsumeWhileWithConsumer() { LongAdder count = new LongAdder();  StepVerifier.create(Flux.range(3, 8)) .expectNextMatches(first -> first == 3) .thenConsumeWhile(v -> v < 9, v -> count.increment()) .expectNext(9) .expectNext(10) .expectComplete() .log() .verify();  assertThat(count.intValue(), is(5)); } 	0	0	0	0	1	0
"@Test public void verifyDuration() { long interval = 200; Flux<String> flux = Flux.interval(Duration.ofMillis(interval)) .map(l -> ""foo"") .take(2);  Duration duration = StepVerifier.create(flux) .thenAwait(Duration.ofSeconds(100)) .expectNext(""foo"") .expectNext(""foo"") .expectComplete() .verify(Duration.ofMillis(500));  Assert.assertTrue(duration.toMillis() > 2 * interval); } "	0	0	0	0	1	0
"public void checkStudyInCookie(Study study, Cookie cookie) throws ForbiddenPublixException { if (cookie != null) { String[] studyUuidArray = cookie.value().split("",""); for (String uuidStr : studyUuidArray) { if (study.getUuid().equals(uuidStr)) { throw new ForbiddenPublixException( PublixErrorMessages.STUDY_CAN_BE_DONE_ONLY_ONCE); } } } } "	0	0	0	0	1	0
void resetEntry(ExpiringEntry<K, V> entry, boolean scheduleFirstEntry) { writeLock.lock(); try { boolean scheduled = entry.cancel(true); entries.reorder(entry);  if (scheduled || scheduleFirstEntry) scheduleEntry(entries.first()); } finally { writeLock.unlock(); } } 	1	0	1	0	1	0
"private void handleChangeManagerStatusRequest(HttpServletRequest req, Map<String, Object> ret, boolean enableMetricManager) { try { logger.info(""Updating metric manager status""); if (MetricReportManager.isAvailable()) { MetricReportManager metricManager = MetricReportManager.getInstance(); if (enableMetricManager) { metricManager.enableManager(); } else { metricManager.disableManager(); } ret.put(STATUS_PARAM, RESPONSE_SUCCESS); } else { ret.put(RESPONSE_ERROR, ""MetricManager is not available""); } } catch (Exception e) { logger.error(e); ret.put(RESPONSE_ERROR, e.getMessage()); } } "	0	0	0	0	1	0
@Override public void logHistory(Project project) {  try { UUID uuid = UUID.randomUUID(); ProjectHistoryRoot batch = new ProjectHistoryRoot(); batch.setId(uuid); batch.setReason(project.getReason());  boolean projectHistoryRootSaved = false;  ProjectHistory projectHistory = new ProjectHistory(project); projectHistory.setBatch(batch); ProjectHistory recentPh = projectHistoryDao.findMostRecent(project);  if (recentPh == null) { projectHistory.setEvent(ProjectHistory.EVENT_TYPE_INSERT); }  if (recentPh == null || ObjectDiff.isDifferent(projectHistory, recentPh, projectHistoryFields)) { projectHistoryRootDao.save(batch); projectHistoryRootSaved = true; projectHistoryDao.save(projectHistory); }  for (Contract contract : project.getContracts()) { ContractHistory contractHistory = new ContractHistory(contract); contractHistory.setBatch(batch); ContractHistory recentCh = contractHistoryDao.findMostRecent(contract);  if (recentCh == null) { contractHistory.setEvent(ProjectHistory.EVENT_TYPE_INSERT); }  if (recentCh == null || ObjectDiff.isDifferent(contractHistory, recentCh, contractHistoryFields)) { if (!projectHistoryRootSaved) { projectHistoryRootDao.save(batch); projectHistoryRootSaved = true; }  contractHistoryDao.save(contractHistory); }  for (ContractMember cm : contract.getContractMembers()) { ContractMemberHistory contractMemberHistory = new ContractMemberHistory(cm); contractMemberHistory.setBatch(batch); ContractMemberHistory recentCmh = contractMemberHistoryDao.findMostRecent(cm);  if (recentCmh == null) { contractMemberHistory.setEvent(ProjectHistory.EVENT_TYPE_INSERT); }  if (recentCmh == null || ObjectDiff.isDifferent(contractMemberHistory, recentCmh, contractMemberHistoryFields)) { if (!projectHistoryRootSaved) { projectHistoryRootDao.save(batch); projectHistoryRootSaved = true; }  contractMemberHistoryDao.save(contractMemberHistory); }  } } } catch (PropertyReadException e) { log.warn(e.getMessage()); throw new RuntimeException(e); } } 	0	0	0	0	1	0
"@Test public void normal(){ List<TableRenderResponseTestMock> mocks = new ArrayList<TableRenderResponseTestMock>(); mocks.add(new TableRenderResponseTestMock(""a"", ""b"")); mocks.add(new TableRenderResponseTestMock(""c"", ""d"")); TableRenderResponse<TableRenderResponseTestMock> response = TableRenderResponse.<TableRenderResponseTestMock>sinPermisos(mocks); String json = response.toJSON(""campo1"", ""campo2""); assertEqualsJson(""{\""obj\"":{\""mensajes\"":{\""error\"":null,\""fatal\"":null,\""info\"":null,\""ok\"":null,\""warning\"":null},\""rows\"":[{\""objeto\"":{\""campo1\"":\""a\"",\""campo2\"":\""b\""},\""permisoBorrar\"":true,\""permisoEditar\"":true,\""permisoLeer\"":true},{\""objeto\"":{\""campo1\"":\""c\"",\""campo2\"":\""d\""},\""permisoBorrar\"":true,\""permisoEditar\"":true,\""permisoLeer\"":true}]}}"", json); } "	0	0	0	0	1	0
@Override public boolean applies(UUID sourceId, Ability source, UUID affectedControllerId, Game game) { UUID targetId = getTargetPointer().getFirst(game, source); if (targetId != null && targetId.equals(sourceId)) { if (affectedControllerId.equals(source.getControllerId())) { Card card = game.getCard(sourceId); if (card != null && game.getState().getZone(sourceId) == Zone.EXILED) { Player player = game.getPlayer(affectedControllerId); player.setCastSourceIdWithAlternateMana(sourceId, null, null); return true; } } } return false; } 	0	0	0	0	1	0
"public void reqIP(String name){ alertBuilder.clear(); try { //send and wait for response dataChannel.sendCmd(""del np-event"", name); PacketWrapper response = dataChannel.receivePacket();  //parse response if(response.type == DataChannel.TYPE_INFO) { et.append(name+"": "" + response.toString() +""\n""); } else if (response.type == DataChannel.TYPE_ERR) { et.append(response.errorMessage() + ""\n""); } else { et.append(""Unknown response from server!\n""+response.toString() + ""\n""); } } catch (NetworkException e) { et.append(e.getMessage() + ""\n""); } alertBuilder.showAlert(); } "	0	0	0	0	1	0
public static void reportEventWithCategory(String category, String action, String label) { if (isAnalyticsActive()) { Tracker tracker = Application.get().getTracker(Application.TrackerName.APP_TRACKER); Tracker tracker2 = Application.get().getTracker(Application.TrackerName.GLOBAL_TRACKER); String obaRegionName = getObaRegionName();  tracker.send(new HitBuilders.EventBuilder() .setCategory(category) .setAction(action) .setLabel(label) .setCustomDimension(1, obaRegionName) .build()); tracker2.send(new HitBuilders.EventBuilder() .setCategory(category) .setAction(action) .setLabel(label) .setCustomDimension(1, obaRegionName) .build()); } } 	0	1	0	0	0	0
private void start_fall_detect_service() { boolean isChecked = sw_allow_find.isChecked(); Intent intent = new Intent(getActivity(), DetectFallService.class); if (isChecked) { getActivity().startService(intent); getActivity().bindService(intent, m_serviceConnection, BIND_AUTO_CREATE); startBindService = true;  } else { try { //cancel service getActivity().stopService(intent); if (startBindService) getActivity().unbindService(m_serviceConnection); } catch (Exception e) { Log.e(TAG, e.toString()); } } } 	0	0	0	0	1	0
public final void glTexEnvfv (int target, int pname, float[] params, int offset) { glTexEnvf(target, pname, params[offset]); } 	0	0	0	0	1	0
"public static String getProfileStateOfUser(Context ctx) { SharedPreferences sharedPref = ctx.getSharedPreferences(""ADDRESS_CHANGE"", Context.MODE_PRIVATE); return sharedPref.getString(ctx.getString(R.string.mdl_user_profile_state),ctx.getString(R.string.mdl_fl)); } "	0	1	0	0	0	0
"@Before public void setup() throws Exception { super.setup(); serviceContext = createServiceContext(); loginAsAdmin(serviceContext);  for (String element : TEST_METADATA) { byte[] bytes = element.getBytes(""UTF-8""); importMetadataXML(serviceContext, null, new ByteArrayInputStream(bytes), MetadataType.METADATA, ReservedGroup.intranet.getId(), Params.GENERATE_UUID); }  luceneSearcher = searchManager.newSearcher(SearchManager.LUCENE, Geonet.File.SEARCH_LUCENE); } "	0	0	0	0	1	0
@Override public void jdwpArraySetValue(long arrayId, int index, int length, ByteBufferReader reader) throws DebuggerException { VmArrayInstance instance; try { instance = delegates.state().referenceRefIdHolder().instanceById(arrayId); } catch (ClassCastException e) { throw new DebuggerException(JdwpConsts.Error.INVALID_ARRAY); }  if (instance == null) throw new DebuggerException(JdwpConsts.Error.INVALID_OBJECT);  // check if index and length is withing bounds if (index < 0 || length <= 0 || index + length >= instance.length()) throw new DebuggerException(JdwpConsts.Error.INVALID_LENGTH);  // read a memory block from device ByteBufferPacket packet = delegates.sharedTargetPacket(); packet.reset(); long destAddr; ValueManipulator manipulator; ClassInfo elementType = instance.elementType(); if (elementType.isPrimitive()) { ClassInfoPrimitiveImpl primType = (ClassInfoPrimitiveImpl) elementType; manipulator = primType.manipulator(); destAddr = instance.dataPtr() + primType.size() * index; } else { // class or array, read pointers destAddr = instance.dataPtr() + packet.pointerSize() * index; manipulator = delegates.instances().objectManipulator(); }   // now dump elements one by one for (int idx = 0; idx < length; idx++) { Object element = manipulator.readFromJdwp(reader); manipulator.writeToDevice(packet, element); }  // put to device delegates.hooksApi().writeMemory(destAddr, packet); } 	1	0	1	1	1	0
"public void setFriends(ProfileFriends friends) { this.friends = friends; if (record != null) friends.getRecords(); if (getIntent().getExtras().containsKey(""friends"")) viewPager.setCurrentItem(1); } "	0	1	0	0	0	0
public void sendAnnouncementToServer(String destServer, String announcement) { sendAnnouncementToServer(destServer, announcement, null); } 	1	0	1	0	1	0
@Override public void setText(String text) { if (text == null || !text.isEmpty()) { super.setText(defaultText); } else { super.setText(text); } } 	1	0	1	1	1	0
private void initializeNeightbors() { for( int ia = 0; ia < spatialDots.size(); ia++ ) { SpatialDot spatialDotUnderInvestigation = spatialDots.get(ia);  for (int ib = 0; ib < spatialDots.size(); ib++) { if( ia != ib ) { continue; }  ArrayRealVector dotAPosition = spatialDotUnderInvestigation.spatialPosition; ArrayRealVector dotBPosition = spatialDots.get(ib).spatialPosition;  double distance = dotAPosition.getDistance(dotBPosition); if( !isDistanceBelowInfluenceDistance(distance) ) { continue; }  spatialDotUnderInvestigation.neightborIndices.add(ib); } } } 	1	1	1	1	1	0
"@Override public boolean onOptionsItemSelected(MenuItem item) { // Handle action bar item clicks here. The action bar will // automatically handle clicks on the Home/Up button, so long // as you specify a parent activity in AndroidManifest.xml. int id = item.getItemId();  //noinspection SimplifiableIfStatement if (id == R.id.action_settings) { //should open up some type of mail client Intent intent = new Intent(Intent.ACTION_SEND); intent.setType(""plain/text""); intent.putExtra(Intent.EXTRA_EMAIL, new String[] { MY_EMAIL }); intent.putExtra(Intent.EXTRA_SUBJECT, ""subject""); intent.putExtra(Intent.EXTRA_TEXT, ""mail body""); startActivity(Intent.createChooser(intent, """")); return true; }  return super.onOptionsItemSelected(item); } "	0	1	0	0	0	0
"private static <T> GradleProjectInfoQuery2<T> createDefaultQuery(final ProjectInfoBuilder2<T> builder) { ExceptionHelper.checkNotNullArgument(builder, ""builder"");  ClassLoader classLoader = builder.getClass().getClassLoader(); File classPath = ModelClassPathDef.getClassPathOfClass(builder.getClass());  final ModelClassPathDef classPathDef = ModelClassPathDef.isImplicitlyAssumed(classPath) ? ModelClassPathDef.EMPTY : ModelClassPathDef.fromJarFiles(classLoader, Collections.singleton(classPath));  return new GradleProjectInfoQuery2<T>() { @Override public ProjectInfoBuilder2<T> getInfoBuilder() { return builder; }  @Override public ModelClassPathDef getInfoClassPath() { return classPathDef; } }; } "	0	0	0	0	1	0
public int getKnowledgeBeaconCount() { return customBeacons != null ? customBeacons.size() : beaconIdMap.size(); } 	0	0	0	0	1	0
"protected void executeInsertData(InsertData insertDataExpr, UpdateContext uc) throws SailException {  SPARQLUpdateDataBlockParser parser = new SPARQLUpdateDataBlockParser(vf); parser.setRDFHandler(new RDFSailInserter(con, vf, uc)); parser.getParserConfig().addNonFatalError(BasicParserSettings.VERIFY_DATATYPE_VALUES); parser.getParserConfig().addNonFatalError(BasicParserSettings.FAIL_ON_UNKNOWN_DATATYPES); try { // TODO process update context somehow? dataset, base URI, etc. parser.parse(new ByteArrayInputStream(insertDataExpr.getDataBlock().getBytes()), """"); } catch (RDFParseException e) { throw new SailException(e); } catch (RDFHandlerException e) { throw new SailException(e); } catch (IOException e) { throw new SailException(e); } } "	0	0	0	0	1	0
"@Override protected void doGet(final HttpServletRequest request, final HttpServletResponse response) throws ServletException, IOException {  // page parameters for the getComputers final PageParameters pparam = pageMapper.map(request);  validator.validatePageParameters(pparam);  List<ComputerDTO> computers = computerMapper.map(computerService.getComputers(pparam));  // we need the total number of computers for the pagination final long nbComputers;  // small optimization.. if we are on the first page and the number of // computers returned is less than the page size, then there is no need // to count the computers. if ((computers.size() <= pparam.getSize()) && (pparam.getPageNumber() == 0)) { nbComputers = computers.size(); } else { nbComputers = computerService.countComputers(pparam); }  // set the attributes for the jsp  request.setAttribute(""nbPages"", Math.max(1, ((nbComputers + pparam.getSize()) - 1) / pparam.getSize())); request.setAttribute(""nbComputers"", nbComputers); request.setAttribute(""computers"", computers); request.setAttribute(""pparam"", pparam);  request.getRequestDispatcher(""/WEB-INF/views/dashboard.jsp"").forward(request, response);  } "	1	0	1	1	1	0
public static String toJson(Object object) { Objects.requireNonNull(object, Required.OBJECT.toString());  return jsonSerializer.serialize(object).toString(); } 	0	0	0	0	1	0
public static PMDParameters extractParameters(PMDParameters arguments, String[] args, String progName) { JCommander jcommander = new JCommander(arguments); jcommander.setProgramName(progName);  try { jcommander.parse(args); if (arguments.isHelp()) { jcommander.usage(); System.out.println(buildUsageText(jcommander)); setStatusCodeOrExit(0); } } catch (ParameterException e) { jcommander.usage(); System.out.println(buildUsageText(jcommander)); System.out.println(e.getMessage()); setStatusCodeOrExit(ERROR_STATUS); } return arguments; } 	0	0	0	0	1	0
"@Override public NetGameModel buildRoad(EdgeLocation edgeLocation, boolean free) throws ServerProxyException { if(userCookie == null) { throw new ServerProxyException(""A user must be logged in before building a road!\n"" + ""Details: User cookie not found""); } if(gameID < 0) { throw new ServerProxyException(""You must be a part of a game before building a road!\n"" + ""Details: Game ID not valid""); }  String urlPath = ""/moves/buildRoad""; String postData = serializer.sBuildRoadReq(userCookie.getPlayerID(), edgeLocation, free); String result = doJSONPost(urlPath, postData, false, false);  NetGameModel ret = deserializer.parseNetGameModel(result);  return ret; } "	0	0	0	0	1	0
"@Override public NetGameModel discardCards(List<Integer> resourceList) throws ServerProxyException { if(userCookie == null) { throw new ServerProxyException(""A user must be logged in before discarding cards!\n"" + ""Details: User cookie not found""); } if(gameID < 0) { throw new ServerProxyException(""You must be a part of a game before discarding cards!\n"" + ""Details: Game ID not valid""); }  String urlPath = ""/moves/discardCards""; String postData = serializer.sDiscardCardsReq(userCookie.getPlayerID(), resourceList); String result = doJSONPost(urlPath, postData, false, false);  NetGameModel ret = deserializer.parseNetGameModel(result);  return ret; } "	0	1	0	0	0	0
"@Override public NetGameModel rollNumber(int roll) throws ServerProxyException { if(userCookie == null) { throw new ServerProxyException(""A user must be logged in before rolling a number!\n"" + ""Details: User cookie not found""); } if(gameID < 0) { throw new ServerProxyException(""You must be a part of a game before rolling a number!\n"" + ""Details: Game ID not valid""); }  String urlPath = ""/moves/rollNumber""; String postData = serializer.sRollNumberReq(userCookie.getPlayerID(), roll); String result = doJSONPost(urlPath, postData, false, false);  NetGameModel ret = deserializer.parseNetGameModel(result);  return ret; } "	0	1	0	0	0	0
"@Override public NetGameModel offerTrade(List<Integer> resourceList, int receiver) throws ServerProxyException { if(userCookie == null) { throw new ServerProxyException(""A user must be logged in before offering a trade!\n"" + ""Details: User cookie not found""); } if(gameID < 0) { throw new ServerProxyException(""You must be a part of a game before offering a trade!\n"" + ""Details: Game ID not valid""); }  String urlPath = ""/moves/offerTrade""; String postData = serializer.sOfferTradeReq(userCookie.getPlayerID(), resourceList, receiver); String result = doJSONPost(urlPath, postData, false, false);  NetGameModel ret = deserializer.parseNetGameModel(result);  return ret; } "	0	1	0	0	0	0
"@Override public NetGameModel buildSettlement(VertexLocation vertexLocation, boolean free) throws ServerProxyException { if(userCookie == null) { throw new ServerProxyException(""A user must be logged in before building a settlement!\n"" + ""Details: User cookie not found""); } if(gameID < 0) { throw new ServerProxyException(""You must be a part of a game before building a road!\n"" + ""Details: Game ID not valid""); }  String urlPath = ""/moves/buildSettlement""; String postData = serializer.sBuildSettlementReq(userCookie.getPlayerID(), vertexLocation, free); String result = doJSONPost(urlPath, postData, false, false);  NetGameModel ret = deserializer.parseNetGameModel(result);  return ret; } "	0	0	0	0	1	0
"private static Object nextSegment(String remaining, Object vars) throws CWLExpressionException { if (vars == null) { return null; } if (!StringUtils.isEmpty(remaining)) { Matcher m = segPattern.matcher(remaining); if (m.find()) { if (m.group(0).startsWith(""."")) { if(m.group(0).equals("".length"") && vars instanceof List){ return ((List) vars).size(); } return nextSegment(remaining.substring(m.end(0)), ((Map<?, ?>) vars).get(m.group(0).substring(1))); } else if (m.group(0).charAt(1) == '\""' || m.group(0).charAt(1) == '\'') { Character start = m.group(0).charAt(1); String key = m.group(0).substring(2, m.group(0).lastIndexOf(start)); key = key.replace(""\\'"", ""'""); key = key.replace(""\\\"""", ""\""""); return nextSegment(remaining.substring(m.end(0)), ((Map<?, ?>) vars).get(key)); } else { String key = m.group(0).substring(1, m.group(0).length()); Integer keyInt = Integer.parseInt(key);  Object remainingVars = null; if (vars instanceof List<?>) { if (((List<?>) vars).size() <= keyInt) { throw new CWLExpressionException(""Could not get value from "" + vars + "" at position "" + keyInt); } remainingVars = ((List<?>) vars).get(keyInt); } else if (vars instanceof Map<?,?>) { remainingVars = ((Map<?,?>) vars).get(keyInt); } return nextSegment(remaining.substring(m.end(0)), remainingVars); } } } return vars; } "	0	1	1	1	1	0
public static Predicate<String> awaitActive(ServerApi serverApi) { return awaitStatus(serverApi, ACTIVE, TEN_MINUTES, FIVE_SECONDS); } 	0	0	0	0	1	0
@Override public ImmutableContextSet load(Set<Context> contexts) { return ContextSet.fromEntries(contexts); } 	1	0	1	0	1	0
@Override public void onClick(View view) { userPreferencesDBHelper.insertFilterPreferences(datePickTV.getText().toString(), timeFrameSpinner.getSelectedItem().toString(), checkBoxArts.isChecked(), checkBoxFashion.isChecked(), checkBoxSports.isChecked() ); mListener.onComplete(datePickTV.getText().toString(), timeFrameSpinner.getSelectedItem().toString(), checkBoxArts.isChecked(), checkBoxFashion.isChecked(), checkBoxSports.isChecked() ); getDialog().dismiss(); } 	0	1	0	0	0	0
"private String addCertToHeader(String endUserName) throws APIManagementException {  try { //get tenant domain String tenantDomain = MultitenantUtils.getTenantDomain(endUserName); //get tenantId int tenantId = APIUtil.getTenantId(endUserName); Certificate publicCert;  if (!(publicCerts.containsKey(tenantId))) { //get tenant's key store manager APIUtil.loadTenantRegistry(tenantId); KeyStoreManager tenantKSM = KeyStoreManager.getInstance(tenantId);  KeyStore keyStore; if (!MultitenantConstants.SUPER_TENANT_DOMAIN_NAME.equals(tenantDomain)) { //derive key store name String ksName = tenantDomain.trim().replace('.', '-'); String jksName = ksName + "".jks""; keyStore = tenantKSM.getKeyStore(jksName); publicCert = keyStore.getCertificate(tenantDomain); } else { //keyStore = tenantKSM.getPrimaryKeyStore(); publicCert = tenantKSM.getDefaultPrimaryCertificate(); } if (publicCert != null) { publicCerts.put(tenantId, publicCert); } } else { publicCert = publicCerts.get(tenantId); }  //generate the SHA-1 thumbprint of the certificate //TODO: maintain a hashmap with tenants' pubkey thumbprints after first initialization MessageDigest digestValue = MessageDigest.getInstance(""SHA-1""); if (publicCert != null) { byte[] der = publicCert.getEncoded(); digestValue.update(der); byte[] digestInBytes = digestValue.digest(); Base64  base64 = new Base64(true); String base64UrlEncodedThumbPrint = base64.encodeToString(digestInBytes).trim(); StringBuilder jwtHeader = new StringBuilder(); //Sample header //{""typ"":""JWT"", ""alg"":""SHA256withRSA"", ""x5t"":""a_jhNus21KVuoFx65LmkW2O_l10""} //{""typ"":""JWT"", ""alg"":""[2]"", ""x5t"":""[1]""} jwtHeader.append(""{\""typ\"":\""JWT\"",""); jwtHeader.append(""\""alg\"":\""""); jwtHeader.append(getJWSCompliantAlgorithmCode(signatureAlgorithm)); jwtHeader.append(""\"","");  jwtHeader.append(""\""x5t\"":\""""); jwtHeader.append(base64UrlEncodedThumbPrint); jwtHeader.append('\""');  jwtHeader.append('}'); return jwtHeader.toString(); } else { String error = ""Error in obtaining tenant's keystore""; throw new APIManagementException(error, e); }  } catch (KeyStoreException e) { String error = ""Error in obtaining tenant's keystore""; throw new APIManagementException(error, e); } catch (CertificateEncodingException e) { String error = ""Error in generating public cert thumbprint""; throw new APIManagementException(error, e); } catch (NoSuchAlgorithmException e) { String error = ""Error in generating public cert thumbprint""; throw new APIManagementException(error, e); } catch (Exception e) { String error = ""Error in obtaining tenant's keystore""; throw new APIManagementException(error, e); } } "	0	1	1	0	1	0
public List<IModule> findPath(IModule startModule, IModule finishModule) { ModuleGraph.ModuleVertex start = MapSequence.fromMap(myMap).get(startModule); ModuleGraph.ModuleVertex finish = MapSequence.fromMap(myMap).get(finishModule); if (start == null || finish == null) { return ListSequence.fromList(new ArrayList<IModule>()); } List<ModuleGraph.ModuleVertex> path = ListSequence.fromList(new LinkedList()); ListSequence.fromList(path).addElement(start); Set<ModuleGraph.ModuleVertex> visited = SetSequence.fromSet(new HashSet<ModuleGraph.ModuleVertex>()); SetSequence.fromSet(visited).addElement(start); findPath(path, finish, visited); return ListSequence.fromList(path).select(new ISelector<ModuleGraph.ModuleVertex, IModule>() { public IModule select(ModuleGraph.ModuleVertex it) { return it.myModule; } }).toListSequence(); } 	0	0	0	0	1	0
@Override public int hashCode() { int result = name != null ? name.hashCode() : 0; result = 31 * result + (artist != null ? artist.hashCode() : 0); result = 31 * result + (album != null ? album.hashCode() : 0); result = 31 * result + (year != null ? year.hashCode() : 0); result = 31 * result + (genre != null ? genre.hashCode() : 0); result = 31 * result + (bmp != null ? bmp.hashCode() : 0); result = 31 * result + (duration != null ? duration.hashCode() : 0); return result; } 	0	1	0	0	0	0
@Override public boolean equals(Object o) { if (this == o) return true; if (!(o instanceof TrackInfo)) return false;  TrackInfo trackInfo = (TrackInfo) o;  if (name != null ? !name.equals(trackInfo.name) : trackInfo.name != null) return false; if (artist != null ? !artist.equals(trackInfo.artist) : trackInfo.artist != null) return false; if (album != null ? !album.equals(trackInfo.album) : trackInfo.album != null) return false; if (year != null ? !year.equals(trackInfo.year) : trackInfo.year != null) return false; if (genre != null ? !genre.equals(trackInfo.genre) : trackInfo.genre != null) return false; if (bmp != null ? !bmp.equals(trackInfo.bmp) : trackInfo.bmp != null) return false; return !(duration != null ? !duration.equals(trackInfo.duration) : trackInfo.duration != null);  } 	0	0	0	0	1	0
"@Test public void testHashedID() throws Exception {  userDAO.addUser(TEST_USER_NAME);  DBCollection collection = userDAO.getDatastore().getCollection(User.class);  collection.getIndexInfo().forEach(dbObject -> { BasicDBObject index = (BasicDBObject) dbObject; if (!index.getString(""name"").equals(""_id_"")) { assertEquals(""hashed"", ((DBObject) index.get(""key"")).get(User.HASHED_ID_FIELD_NAME)); } }); } "	0	0	0	0	1	0
"@When(""^replace (\\w+)$"") public void replace(String name, DataTable table) { name = name.trim(); String text = context.vars.get(name).getAsString(); List<Map<String, String>> list = table.asMaps(String.class, String.class); String replaced = Script.replacePlaceholders(text, list, context); context.vars.put(name, replaced); } "	0	0	0	0	1	0
"@Override public boolean canAddMoreManagedProfiles(int userId, boolean allowedToRemoveOne) { checkManageUsersPermission(""check if more managed profiles can be added.""); if (ActivityManager.isLowRamDeviceStatic()) { return false; } if (!mContext.getPackageManager().hasSystemFeature( PackageManager.FEATURE_MANAGED_USERS)) { return false; } // Limit number of managed profiles that can be created final int managedProfilesCount = getProfiles(userId, true).size() - 1; final int profilesRemovedCount = managedProfilesCount > 0 && allowedToRemoveOne ? 1 : 0; if (managedProfilesCount - profilesRemovedCount >= MAX_MANAGED_PROFILES) { return false; } synchronized(mUsersLock) { UserInfo userInfo = getUserInfoLU(userId); if (!userInfo.canHaveProfile()) { return false; } int usersCountAfterRemoving = getAliveUsersExcludingGuestsCountLU() - profilesRemovedCount; // We allow creating a managed profile in the special case where there is only one user. return usersCountAfterRemoving  == 1 || usersCountAfterRemoving < UserManager.getMaxSupportedUsers(); } } "	1	1	1	1	1	0
